"id","nombre","descripcion","rutaAtajo","rutaImagen"
"0","SYNGO VNA","Examenes","https://vna.clinicale.cl/webview/CBO#search","vna.jpg"
"3","Novuslis","Impresión de etiquetas y examenes de laboratorio","http://novuslis.clinicale.cl","novuslis.jpg"
"4","Epicrisis","Ficha o documento médico, egreso / alta paciente","appurl://3/","documentosSicbo.jpg"
"5","DAU","Dato de atención de urgencia, ficha de enfermería residencia médica","appurl://4/","dau.jpg"
"6","Kopland","Ficha y agenda consultas doctores","appurl://1/","kopland.png"
"7","HCE-CBO","Ficha UPC","appurl://2/","hce-cbo.png"
"8","Protocolos Operatorios","Protocolos operatorios pabellon","appurl://5/","documentosSicbo.jpg"
"16","HCE AMBULATORIA","Ficha pacientes ambulatorios","appurl://8/","documentosSicbo.jpg"
"17","Medilink","Ficha y agenda de pacientes kinesiología ","https://fisiomedsosorno.softwaremedilink.com/sessions/login","medilink.jpg"
"18","Intellectto","Ficha paciente","https://app.intellectto.cl/login","intellectto.jpg"
"19","Solicitud de Registros Clínicos","Solicitud de ficha a través de formulario para Estadística","solicitud.php","formulario.jpg"
